,Name,Constituency,Province/Territory,Political Affiliation,Date of Next Election,Constituency at Next Election,Province/Territory at Next Election,Political Affiliation at Next Election,Result at Next Election
1,"Aboultaif, Ziad",Edmonton Manning,Alberta,Conservative Party of Canada,2019-10-21,Edmonton Manning,Alberta,Conservative Party of Canada,Elected
2,"Albas, Dan",Central Okanagan--Similkameen--Nicola,British Columbia,Conservative Party of Canada,2019-10-21,Central Okanagan--Similkameen--Nicola,British Columbia,Conservative Party of Canada,Elected
3,"Albrecht, Harold",Kitchener--Conestoga,Ontario,Conservative Party of Canada,2019-10-21,Kitchener--Conestoga,Ontario,Conservative Party of Canada,Defeated
4,"Aldag, John",Cloverdale--Langley City,British Columbia,Liberal Party of Canada,2019-10-21,Cloverdale--Langley City,British Columbia,Liberal Party of Canada,Defeated
5,"Alghabra, Omar",Mississauga Centre,Ontario,Liberal Party of Canada,2019-10-21,Mississauga Centre,Ontario,Liberal Party of Canada,Elected
6,"Alleslev, Leona",Aurora--Oak Ridges--Richmond Hill,Ontario,Liberal Party of Canada,2019-10-21,Aurora--Oak Ridges--Richmond Hill,Ontario,Conservative Party of Canada,Elected
7,"Allison, Dean",Niagara West,Ontario,Conservative Party of Canada,2019-10-21,Niagara West,Ontario,Conservative Party of Canada,Elected
8,"Amos, William",Pontiac,Quebec,Liberal Party of Canada,2019-10-21,Pontiac,Quebec,Liberal Party of Canada,Elected
9,"Anandasangaree, Gary",Scarborough--Rouge Park,Ontario,Liberal Party of Canada,2019-10-21,Scarborough--Rouge Park,Ontario,Liberal Party of Canada,Elected
10,"Angus, Charlie",Timmins--James Bay,Ontario,New Democratic Party,2019-10-21,Timmins--James Bay,Ontario,New Democratic Party,Elected
11,"Arnold, Mel",North Okanagan--Shuswap,British Columbia,Conservative Party of Canada,2019-10-21,North Okanagan--Shuswap,British Columbia,Conservative Party of Canada,Elected
12,"Arseneault, René",Madawaska--Restigouche,New Brunswick,Liberal Party of Canada,2019-10-21,Madawaska--Restigouche,New Brunswick,Liberal Party of Canada,Elected
13,"Arya, Chandra",Nepean,Ontario,Liberal Party of Canada,2019-10-21,Nepean,Ontario,Liberal Party of Canada,Elected
14,"Ashton, Niki",Churchill--Keewatinook Aski,Manitoba,New Democratic Party,2019-10-21,Churchill--Keewatinook Aski,Manitoba,New Democratic Party,Elected
15,"Aubin, Robert",Trois-Rivières,Quebec,New Democratic Party,2019-10-21,Trois-Rivières,Quebec,New Democratic Party,Defeated
16,"Ayoub, Ramez",Thérèse-De Blainville,Quebec,Liberal Party of Canada,2019-10-21,Thérèse-De Blainville,Quebec,Liberal Party of Canada,Defeated
17,"Badawey, Vance",Niagara Centre,Ontario,Liberal Party of Canada,2019-10-21,Niagara Centre,Ontario,Liberal Party of Canada,Elected
18,"Bagnell, Larry",Yukon,Yukon,Liberal Party of Canada,2019-10-21,Yukon,Yukon,Liberal Party of Canada,Elected
19,"Bains, Navdeep Singh",Mississauga--Malton,Ontario,Liberal Party of Canada,2019-10-21,Mississauga--Malton,Ontario,Liberal Party of Canada,Elected
